iso_code,continent,location,date,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million
AUS,Oceania,Australia,2020-03-31,82.0,3.1319999999999997,426.0,16.274
AUS,Oceania,Australia,2020-04-01,86.0,3.285,441.0,16.847
AUS,Oceania,Australia,2020-04-02,92.0,3.514,415.0,15.853
AUS,Oceania,Australia,2020-04-03,93.0,3.553,457.0,17.458
AUS,Oceania,Australia,2020-04-04,95.0,3.6289999999999996,490.0,18.718
AUS,Oceania,Australia,2020-04-05,96.0,3.667,457.0,17.458
AUS,Oceania,Australia,2020-04-06,93.0,3.553,305.0,11.651
AUS,Oceania,Australia,2020-04-07,87.0,3.323,263.0,10.047
AUS,Oceania,Australia,2020-04-08,81.0,3.094,262.0,10.009
AUS,Oceania,Australia,2020-04-09,81.0,3.094,247.0,9.436
AUS,Oceania,Australia,2020-04-10,80.0,3.056,240.0,9.168
AUS,Oceania,Australia,2020-04-11,83.0,3.1710000000000003,239.0,9.13
AUS,Oceania,Australia,2020-04-12,79.0,3.0180000000000002,227.0,8.672
AUS,Oceania,Australia,2020-04-13,80.0,3.056,230.0,8.786
AUS,Oceania,Australia,2020-04-14,73.0,2.7889999999999997,214.0,8.175
AUS,Oceania,Australia,2020-04-15,67.0,2.559,201.0,7.678
AUS,Oceania,Australia,2020-04-16,60.0,2.292,192.0,7.335
AUS,Oceania,Australia,2020-04-17,55.0,2.101,184.0,7.029
AUS,Oceania,Australia,2020-04-18,48.0,1.834,177.0,6.7620000000000005
AUS,Oceania,Australia,2020-04-19,49.0,1.8719999999999999,170.0,6.494
AUS,Oceania,Australia,2020-04-20,47.0,1.795,167.0,6.38
AUS,Oceania,Australia,2020-04-21,46.0,1.757,161.0,6.15
AUS,Oceania,Australia,2020-04-22,45.0,1.719,152.0,5.807
AUS,Oceania,Australia,2020-04-23,42.0,1.604,138.0,5.272
AUS,Oceania,Australia,2020-04-24,43.0,1.643,129.0,4.928
AUS,Oceania,Australia,2020-04-25,43.0,1.643,115.0,4.393
AUS,Oceania,Australia,2020-04-26,43.0,1.643,113.0,4.317
AUS,Oceania,Australia,2020-04-27,42.0,1.604,109.0,4.164
AUS,Oceania,Australia,2020-04-28,38.0,1.452,93.0,3.553
AUS,Oceania,Australia,2020-04-29,34.0,1.2990000000000002,89.0,3.4
AUS,Oceania,Australia,2020-04-30,28.0,1.07,83.0,3.1710000000000003
AUS,Oceania,Australia,2020-05-01,28.0,1.07,79.0,3.0180000000000002
AUS,Oceania,Australia,2020-05-02,28.0,1.07,75.0,2.865
AUS,Oceania,Australia,2020-05-03,28.0,1.07,70.0,2.674
AUS,Oceania,Australia,2020-05-04,27.0,1.031,66.0,2.521
AUS,Oceania,Australia,2020-05-05,27.0,1.031,62.0,2.3680000000000003
AUS,Oceania,Australia,2020-05-06,23.0,0.879,58.0,2.2159999999999997
AUS,Oceania,Australia,2020-05-07,21.0,0.802,56.0,2.1390000000000002
AUS,Oceania,Australia,2020-05-08,19.0,0.726,51.0,1.9480000000000002
AUS,Oceania,Australia,2020-05-09,17.0,0.649,43.0,1.643
AUS,Oceania,Australia,2020-05-10,16.0,0.611,49.0,1.8719999999999999
AUS,Oceania,Australia,2020-05-11,16.0,0.611,47.0,1.795
AUS,Oceania,Australia,2020-05-12,17.0,0.649,50.0,1.91
AUS,Oceania,Australia,2020-05-13,18.0,0.688,51.0,1.9480000000000002
AUS,Oceania,Australia,2020-05-14,17.0,0.649,46.0,1.757
AUS,Oceania,Australia,2020-05-15,16.0,0.611,49.0,1.8719999999999999
AUS,Oceania,Australia,2020-05-16,16.0,0.611,50.0,1.91
AUS,Oceania,Australia,2020-05-17,12.0,0.45799999999999996,45.0,1.719
AUS,Oceania,Australia,2020-05-18,11.0,0.42,47.0,1.795
AUS,Oceania,Australia,2020-05-19,9.0,0.344,43.0,1.643
AUS,Oceania,Australia,2020-05-20,9.0,0.344,41.0,1.5659999999999998
AUS,Oceania,Australia,2020-05-21,7.0,0.267,39.0,1.49
AUS,Oceania,Australia,2020-05-22,5.0,0.191,35.0,1.337
AUS,Oceania,Australia,2020-05-23,5.0,0.191,33.0,1.261
AUS,Oceania,Australia,2020-05-24,5.0,0.191,31.0,1.1840000000000002
AUS,Oceania,Australia,2020-05-25,5.0,0.191,30.0,1.146
AUS,Oceania,Australia,2020-05-26,6.0,0.22899999999999998,30.0,1.146
AUS,Oceania,Australia,2020-05-27,5.0,0.191,29.0,1.1079999999999999
AUS,Oceania,Australia,2020-05-28,4.0,0.153,23.0,0.879
AUS,Oceania,Australia,2020-05-29,4.0,0.153,22.0,0.84
AUS,Oceania,Australia,2020-05-30,4.0,0.153,20.0,0.764
AUS,Oceania,Australia,2020-05-31,3.0,0.115,20.0,0.764
AUS,Oceania,Australia,2020-06-01,4.0,0.153,26.0,0.993
AUS,Oceania,Australia,2020-06-02,5.0,0.191,25.0,0.955
AUS,Oceania,Australia,2020-06-03,4.0,0.153,22.0,0.84
AUS,Oceania,Australia,2020-06-04,2.0,0.076,21.0,0.802
AUS,Oceania,Australia,2020-06-05,4.0,0.153,21.0,0.802
AUS,Oceania,Australia,2020-06-06,3.0,0.115,18.0,0.688
AUS,Oceania,Australia,2020-06-07,3.0,0.115,19.0,0.726
AUS,Oceania,Australia,2020-06-08,2.0,0.076,18.0,0.688
AUS,Oceania,Australia,2020-06-09,3.0,0.115,20.0,0.764
AUS,Oceania,Australia,2020-06-10,2.0,0.076,18.0,0.688
