country,date,iso_code,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,total_vaccinations_per_hundred,sputnikv_total_vaccinations,sinovac_total_vaccinations,sinopharm_total_vaccinations,pfizer_total_vaccinations,astrazeneca_total_vaccinations,novavax_total_vaccinations,moderna_total_vaccinations,johnson&johnson_total_vaccinations,covaxin_total_vaccinations,cansino_total_vaccinations
Argentina,2020-12-29,ARG,0.0,0.04,0.04,20481.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
Argentina,2020-12-30,ARG,0.0,0.09,0.09,40583.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
Argentina,2020-12-31,ARG,0.0,0.1,0.1,43388.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-01,ARG,0.0,0.1,0.1,43513.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-02,ARG,0.0,0.1,0.1,46824.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-03,ARG,0.0,0.1,0.1,47266.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-04,ARG,0.0,0.13,0.13,57726.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-05,ARG,0.0,0.15,0.15,68445.0,0.0,5.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-06,ARG,0.0,0.17,0.17,78551.0,0.0,8.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-07,ARG,0.0,0.21,0.21,96771.0,0.0,8.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-08,ARG,0.0,0.27,0.27,124652.0,0.0,8.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-09,ARG,0.0,0.3,0.3,134860.0,0.0,9.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-10,ARG,0.0,0.3,0.3,136034.0,0.0,10.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-11,ARG,0.0,0.34,0.34,155856.0,0.0,11.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-12,ARG,0.0,0.38,0.38,175239.0,0.0,14.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-13,ARG,0.0,0.42,0.42,192001.0,0.0,18.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-14,ARG,0.0,0.46,0.46,208646.0,0.0,19.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-15,ARG,0.0,0.5,0.5,226081.0,0.0,19.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-16,ARG,0.0,0.51,0.51,231964.0,0.0,19.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-17,ARG,0.0,0.51,0.51,233025.0,0.0,19.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-18,ARG,0.0,0.53,0.53,242856.0,0.0,19.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-19,ARG,0.01,0.55,0.56,256102.0,0.0,20.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-20,ARG,0.04,0.56,0.6,275522.0,0.0,20.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-21,ARG,0.06,0.57,0.64,289629.0,0.0,22.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-22,ARG,0.07,0.58,0.66,298839.0,0.0,23.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-23,ARG,0.08,0.59,0.66,302778.0,0.0,23.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-24,ARG,0.08,0.59,0.66,303080.0,0.0,23.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-25,ARG,0.09,0.6,0.7,317281.0,0.0,23.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-26,ARG,0.11,0.61,0.72,330047.0,0.0,24.0,0.0,68.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-27,ARG,0.12,0.62,0.75,340149.0,0.0,24.0,0.0,70.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-28,ARG,0.16,0.63,0.78,356199.0,0.0,24.0,0.0,70.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-29,ARG,0.2,0.63,0.83,379691.0,0.0,24.0,0.0,71.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-30,ARG,0.22,0.63,0.85,389003.0,0.0,24.0,0.0,71.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-01-31,ARG,0.22,0.63,0.85,389626.0,0.0,25.0,0.0,71.0,0.0,2.0,0.0,0.0,0.0
Argentina,2021-02-01,ARG,0.26,0.63,0.9,409129.0,0.0,25.0,0.0,89.0,0.0,2.0,0.0,0.0,0.0
