country,date,iso_code,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,total_vaccinations_per_hundred,sputnikv_total_vaccinations,sinovac_total_vaccinations,sinopharm_total_vaccinations,pfizer_total_vaccinations,astrazeneca_total_vaccinations,novavax_total_vaccinations,moderna_total_vaccinations,johnson&johnson_total_vaccinations,covaxin_total_vaccinations,cansino_total_vaccinations
Argentina,2020-12-29,ARG,0.0,0.04,0.04,20481,,1,,3,,2,,,
Argentina,2020-12-30,ARG,0.0,0.09,0.09,40583,,1,,3,,2,,,
Argentina,2020-12-31,ARG,0.0,0.1,0.1,43388,,1,,3,,2,,,
Argentina,2021-01-01,ARG,0.0,0.1,0.1,43513,,1,,5,,2,,,
Argentina,2021-01-02,ARG,0.0,0.1,0.1,46824,,1,,6,,2,,,
Argentina,2021-01-03,ARG,0.0,0.1,0.1,47266,,1,,6,,2,,,
Argentina,2021-01-04,ARG,0.0,0.13,0.13,57726,,1,,6,,2,,,
Argentina,2021-01-05,ARG,0.0,0.15,0.15,68445,,5,,6,,2,,,
Argentina,2021-01-06,ARG,0.0,0.17,0.17,78551,,8,,6,,2,,,
Argentina,2021-01-07,ARG,0.0,0.21,0.21,96771,,8,,7,,2,,,
Argentina,2021-01-08,ARG,0.0,0.27,0.27,124652,,8,,7,,2,,,
Argentina,2021-01-09,ARG,0.0,0.3,0.3,134860,,9,,7,,2,,,
Argentina,2021-01-10,ARG,0.0,0.3,0.3,136034,,10,,7,,2,,,
Argentina,2021-01-11,ARG,0.0,0.34,0.34,155856,,11,,8,,2,,,
Argentina,2021-01-12,ARG,0.0,0.38,0.38,175239,,14,,8,,2,,,
Argentina,2021-01-13,ARG,0.0,0.42,0.42,192001,,18,,8,,2,,,
Argentina,2021-01-14,ARG,0.0,0.46,0.46,208646,,19,,8,,2,,,
Argentina,2021-01-15,ARG,0.0,0.5,0.5,226081,,19,,8,,2,,,
Argentina,2021-01-16,ARG,0.0,0.51,0.51,231964,,19,,8,,2,,,
Argentina,2021-01-17,ARG,0.0,0.51,0.51,233025,,19,,8,,2,,,
Argentina,2021-01-18,ARG,0.0,0.53,0.53,242856,,19,,8,,2,,,
Argentina,2021-01-19,ARG,0.01,0.55,0.56,256102,,20,,8,,2,,,
Argentina,2021-01-20,ARG,0.04,0.56,0.6,275522,,20,,8,,2,,,
Argentina,2021-01-21,ARG,0.06,0.57,0.64,289629,,22,,13,,2,,,
Argentina,2021-01-22,ARG,0.07,0.58,0.66,298839,,23,,16,,2,,,
Argentina,2021-01-23,ARG,0.08,0.59,0.66,302778,,23,,21,,2,,,
Argentina,2021-01-24,ARG,0.08,0.59,0.66,303080,,23,,22,,2,,,
Argentina,2021-01-25,ARG,0.09,0.6,0.7,317281,,23,,30,,2,,,
Argentina,2021-01-26,ARG,0.11,0.61,0.72,330047,,24,,68,,2,,,
Argentina,2021-01-27,ARG,0.12,0.62,0.75,340149,,24,,70,,2,,,
Argentina,2021-01-28,ARG,0.16,0.63,0.78,356199,,24,,70,,2,,,
Argentina,2021-01-29,ARG,0.2,0.63,0.83,379691,,24,,71,,2,,,
Argentina,2021-01-30,ARG,0.22,0.63,0.85,389003,,24,,71,,2,,,
Argentina,2021-01-31,ARG,0.22,0.63,0.85,389626,,25,,71,,2,,,
Argentina,2021-02-01,ARG,0.26,0.63,0.9,409129,,25,,89,,2,,,
Argentina,2021-02-02,ARG,0.3,0.65,0.95,432967,,25,,122,,2,,,
Argentina,2021-02-03,ARG,0.34,0.67,1.01,459564,,28,,130,,2,,,
Argentina,2021-02-04,ARG,0.38,0.69,1.07,487649,,51,,135,,2,,,
Argentina,2021-02-05,ARG,0.42,0.72,1.14,520656,,58,,140,,2,,,3
Argentina,2021-02-06,ARG,0.44,0.73,1.17,531576,,62,,140,,2,,,3
Argentina,2021-02-07,ARG,0.44,0.73,1.17,532955,,66,,140,,2,,,3
Argentina,2021-02-08,ARG,0.45,0.77,1.22,556368,,67,,142,,2,,,3
Argentina,2021-02-09,ARG,0.47,0.8,1.26,576556,,73,,144,,2,,,3
Argentina,2021-02-10,ARG,0.48,0.82,1.3,592167,,78,,147,,2,,,3
Argentina,2021-02-11,ARG,0.51,0.83,1.34,610007,,84,,150,,2,,,3
Argentina,2021-02-12,ARG,0.53,0.84,1.37,625833,,85,,151,,2,,,3
Argentina,2021-02-13,ARG,0.54,0.84,1.38,628866,,87,,153,,2,,,3
Argentina,2021-02-14,ARG,0.54,0.84,1.38,629016,,89,,153,,2,,,3
Argentina,2021-02-15,ARG,0.54,0.85,1.38,630329,,91,,153,,2,,,3
Argentina,2021-02-16,ARG,0.54,0.85,1.39,631626,,93,,165,,2,,,3
Argentina,2021-02-17,ARG,0.55,0.89,1.44,655999,,96,,176,,2,,,3
Argentina,2021-02-18,ARG,0.57,1.01,1.58,719771,,100,,207,,2,,,3
Argentina,2021-02-19,ARG,0.59,1.14,1.73,787456,,100,,389,,2,,,3
Argentina,2021-02-20,ARG,0.59,1.21,1.8,819921,,101,,537,,2,,,3
Argentina,2021-02-21,ARG,0.59,1.25,1.84,839697,,101,,935,,2,,,3
Argentina,2021-02-22,ARG,0.6,1.39,1.99,884657,,101,,23510,,2,,,3
Argentina,2021-02-23,ARG,0.61,1.58,2.18,921408,,103,,73679,,2,,,3
Argentina,2021-02-24,ARG,0.62,1.77,2.39,953134,,106,,135717,,2,,,3
Argentina,2021-02-25,ARG,0.65,1.92,2.56,979424,,110,,188836,,2,,,3
Argentina,2021-02-26,ARG,0.67,2.07,2.74,1005040,,119,,244861,,2,,,3
Argentina,2021-02-27,ARG,0.67,2.11,2.78,1009594,,120,,258184,,2,,,3
Argentina,2021-02-28,ARG,0.67,2.12,2.79,1010370,,121,,263527,,2,,,3
Argentina,2021-03-01,ARG,0.69,2.27,2.96,1030908,,823,,316821,,2,,,3
Argentina,2021-03-02,ARG,0.71,2.42,3.12,1049929,,5775,,368429,,2,,,3
Argentina,2021-03-03,ARG,0.72,2.56,3.28,1067596,,23601,,404366,,2,,,3
Argentina,2021-03-04,ARG,0.75,2.77,3.53,1089649,,87899,,430061,,2,,,3
Argentina,2021-03-05,ARG,0.78,2.99,3.77,1110584,,154403,,454341,,2,,,3
Argentina,2021-03-06,ARG,0.79,3.1,3.89,1115182,,196825,,462250,,2,,,3
Argentina,2021-03-07,ARG,0.79,3.13,3.92,1115559,,203265,,467234,,2,,,3
Argentina,2021-03-08,ARG,0.79,3.35,4.14,1133531,,256191,1,498797,,2,,,3
Argentina,2021-03-09,ARG,0.8,3.6,4.39,1169871,,319299,1,515123,,2,,,3
Argentina,2021-03-10,ARG,0.81,3.94,4.75,1223016,,418012,1,527198,,2,,,3
Argentina,2021-03-11,ARG,0.89,4.28,5.16,1315000,,502877,1,537131,,2,,,3
Argentina,2021-03-12,ARG,0.98,4.54,5.52,1407959,,564007,1,544648,,2,,,3
Argentina,2021-03-13,ARG,1.04,4.58,5.62,1440857,,574509,1,547621,,2,,,3
Argentina,2021-03-14,ARG,1.04,4.6,5.64,1443321,,581164,1,547670,,2,,,3
Argentina,2021-03-15,ARG,1.11,4.84,5.94,1533852,,621768,1,554085,,2,,,3
Argentina,2021-03-16,ARG,1.15,5.08,6.23,1629754,,656429,1,557201,,2,,,3
Argentina,2021-03-17,ARG,1.19,5.35,6.54,1743617,,679387,1,559905,,2,,,3
Argentina,2021-03-18,ARG,1.29,5.56,6.85,1858704,,701526,1,561589,,2,,,3
Argentina,2021-03-19,ARG,1.37,5.75,7.12,1959408,,725122,2,563430,,2,,,3
