Ability,Pokemon,Game's Text,In-Depth Effect,Ability URL
Anger Shell,Klawf,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.",,https://www.serebii.net/abilitydex/angershell.shtml
Anticipation,Flittle,The Pokémon can sense an opposing Pokémon's dangerous moves.,Warns when the foe knows 1-hit KO or super-effective moves.,https://www.serebii.net/abilitydex/anticipation.shtml
Armor Tail,Farigiraf,The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies.,,https://www.serebii.net/abilitydex/armortail.shtml
Aroma Veil,Lechonk,Protects itself and its allies from attacks that limit their move choices.,,https://www.serebii.net/abilitydex/aromaveil.shtml
Aroma Veil,Dachsbun,Protects itself and its allies from attacks that limit their move choices.,,https://www.serebii.net/abilitydex/aromaveil.shtml
Beads of Ruin,Chi-Yu,The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.,,https://www.serebii.net/abilitydex/beadsofruin.shtml
Big Pecks,Bombirdier,Protects the Pokémon from Defense-lowering effects.,,https://www.serebii.net/abilitydex/bigpecks.shtml
Blaze,Fuecoco,Powers up Fire-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%.",https://www.serebii.net/abilitydex/blaze.shtml
Blaze,Crocalor,Powers up Fire-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%.",https://www.serebii.net/abilitydex/blaze.shtml
Blaze,Skeledirge,Powers up Fire-type moves when the Pokémon's HP is low.,"When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%.",https://www.serebii.net/abilitydex/blaze.shtml
Cheek Pouch,Maushold,Restores HP as well when the Pokémon eats a Berry.,,https://www.serebii.net/abilitydex/cheekpouch.shtml
Chlorophyll,Scovillain,Boosts the Pokémon's Speed stat in sunshine.,"When sunny, the Pokémon’s Speed doubles.",https://www.serebii.net/abilitydex/chlorophyll.shtml
Chlorophyll,Capsakid,Boosts the Pokémon's Speed stat in sunshine.,"When sunny, the Pokémon’s Speed doubles.",https://www.serebii.net/abilitydex/chlorophyll.shtml
Clear Body,Naclstack,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.,https://www.serebii.net/abilitydex/clearbody.shtml
Clear Body,Garganacl,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.,https://www.serebii.net/abilitydex/clearbody.shtml
Clear Body,Nacli,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.,https://www.serebii.net/abilitydex/clearbody.shtml
Commander,Tatsugiri,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.",Tatsugiri will go into Dondozo's mouth and be unable to be damaged from attacks. Dondozo can no longer switch out. Dondozo's stats all raise by 2 stages,https://www.serebii.net/abilitydex/commander.shtml
Competitive,Kilowattrel,Boosts the Sp. Atk stat sharply when a stat is lowered.,Raises Sp. Atk stat by two stages whenever a stat is lowered,https://www.serebii.net/abilitydex/competitive.shtml
Competitive,Wattrel,Boosts the Sp. Atk stat sharply when a stat is lowered.,Raises Sp. Atk stat by two stages whenever a stat is lowered,https://www.serebii.net/abilitydex/competitive.shtml
Compoundeyes,Rellor,The Pokémon's compound eyes boost its accuracy.,Raises the Pokémon’s accuracy by 30%.,https://www.serebii.net/abilitydex/compoundeyes.shtml
Corrosion,Glimmora,The Pokémon can poison the target even if it's a Steel or Poison type.,,https://www.serebii.net/abilitydex/corrosion.shtml
Corrosion,Glimmet,The Pokémon can poison the target even if it's a Steel or Poison type.,,https://www.serebii.net/abilitydex/corrosion.shtml
Costar,Flamigo,"When the Pokémon enters a battle, it copies an ally's stat changes.",,https://www.serebii.net/abilitydex/costar.shtml
Cud Chew,Farigiraf,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",,https://www.serebii.net/abilitydex/cudchew.shtml
Damp,Tadbulb,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.,"Explosion, Selfdestruct, Mind Blown & Misty Explosion will not work while the Pokémon is on the field.",https://www.serebii.net/abilitydex/damp.shtml
Damp,Bellibolt,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.,"Explosion, Selfdestruct, Mind Blown & Misty Explosion will not work while the Pokémon is on the field.",https://www.serebii.net/abilitydex/damp.shtml
Defiant,Kingambit,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies,https://www.serebii.net/abilitydex/defiant.shtml
Defiant,Annihilape,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies,https://www.serebii.net/abilitydex/defiant.shtml
Early Bird,Dolliv,The Pokémon awakens twice as fast as other Pokémon from sleep.,"Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly.",https://www.serebii.net/abilitydex/earlybird.shtml
Early Bird,Smoliv,The Pokémon awakens twice as fast as other Pokémon from sleep.,"Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly.",https://www.serebii.net/abilitydex/earlybird.shtml
Earth Eater,Orthworm,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.",The user recovers 25% of its maximum Hit Points when a Ground-type move is used against it,https://www.serebii.net/abilitydex/eartheater.shtml
Electromorphosis,Bellibolt,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.",,https://www.serebii.net/abilitydex/electromorphosis.shtml
Filter,Revavroom,Reduces the power of supereffective attacks taken.,Damage by super-effective moves is reduced by 25%.,https://www.serebii.net/abilitydex/filter.shtml
Flame Body,Charcadet,Contact with the Pokémon may burn the attacker.,"The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.",https://www.serebii.net/abilitydex/flamebody.shtml
Flash Fire,Charcadet,Powers up the Pokémon's Fire-type moves if it's hit by one.,"Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect.",https://www.serebii.net/abilitydex/flashfire.shtml
