Move,Type,Category,Power Points,Base Power,Accuracy,Battle Effect,Secondary Effect,Secondary Rate,Critical Rate,Speed Priority,Attack URL,Pokemon
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Smoliv
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Dolliv
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Arboliva
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Bramblin
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Brambleghast
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Brute Bonnet
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Wo-Chien
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Toedscool
Absorb,grass,special,25,20,100,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,User recovers half the damage inflicted.,0,0.0417,0,https://serebii.net/attackdex-sv/absorb.shtml,Toedscruel
Acid Armor,poison,other,20,0,101,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",Raises user's Defense two stages.,0,0,0,https://serebii.net/attackdex-sv/acidarmor.shtml,Glimmet
Acid Armor,poison,other,20,0,101,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",Raises user's Defense two stages.,0,0,0,https://serebii.net/attackdex-sv/acidarmor.shtml,Glimmora
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Glimmet
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Glimmora
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Shroodle
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Grafaiai
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Iron Moth
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Tadbulb
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Bellibolt
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Varoom
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Revavroom
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Armarouge
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Toedscool
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Toedscruel
Acid Spray,poison,special,20,40,100,The user attacks by spitting fluid that works to melt the target. This also harshly lowers the target's Sp. Def stat.,Lowers opponent's Special Defense two stages.,0,0.0417,0,https://serebii.net/attackdex-sv/acidspray.shtml,Clodsire
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Quaxly
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Quaxwell
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Quaquaval
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Finizen
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Palafin
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Sprigatito
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Floragato
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Meowscarada
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Cyclizar
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Wattrel
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Kilowattrel
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Bombirdier
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Flamigo
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Shroodle
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Grafaiai
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Slither Wing
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Roaring Moon
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Iron Moth
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Iron Jugulis
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Iron Bundle
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Chien-Pao
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Koraidon
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Miraidon
Acrobatics,flying,physical,15,55,100,The user nimbly strikes the target. This attack does massive damage if the user isn't holding an item.,Increases damage by 100% if user is not holding an item.,0,0.0417,0,https://serebii.net/attackdex-sv/acrobatics.shtml,Annihilape
Acupressure,normal,other,30,0,101,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",Raises one of the user's stats randomly by two stages.,0,0,0,https://serebii.net/attackdex-sv/acupressure.shtml,Toedscool
Acupressure,normal,other,30,0,101,"The user applies pressure to stress points, sharply boosting one of its or its allies' stats.",Raises one of the user's stats randomly by two stages.,0,0,0,https://serebii.net/attackdex-sv/acupressure.shtml,Toedscruel
Aerial Ace,flying,physical,20,60,101,"The user confounds the target with speed, then slashes. This attack never misses.",Cannot miss.,0,0.0417,0,https://serebii.net/attackdex-sv/aerialace.shtml,Squawkabilly
