Pokemon,Ability,Type1_form,Type2_form
Annihilape,Inner Focus,fighting,ghost
Annihilape,Defiant,fighting,ghost
Annihilape,Vital Spirit,fighting,ghost
Arboliva,Harvest,grass,normal
Arboliva,Seed Sower,grass,normal
Arctibax,Ice Body,ice,dragon
Arctibax,Thermal Exchange,ice,dragon
Armarouge,Weak Armor,fire,psychic
Armarouge,Flash Fire,fire,psychic
Baxcalibur,Thermal Exchange,ice,dragon
Baxcalibur,Ice Body,ice,dragon
Bellibolt,Damp,electric,missing
Bellibolt,Electromorphosis,electric,missing
Bellibolt,Static,electric,missing
Bombirdier,Keen Eye,flying,dark
Bombirdier,Big Pecks,flying,dark
Bombirdier,Rocky Payload,flying,dark
Brambleghast,Wind Rider,grass,ghost
Brambleghast,Infiltrator,grass,ghost
Bramblin,Wind Rider,grass,ghost
Bramblin,Infiltrator,grass,ghost
Brute Bonnet,Protosynthesis,dark,grass
Capsakid,Klutz,grass,missing
Capsakid,Insomnia,grass,missing
Capsakid,Chlorophyll,grass,missing
Ceruledge,Weak Armor,fire,ghost
Ceruledge,Flash Fire,fire,ghost
Cetitan,Slush Rush,ice,missing
Cetitan,Sheer Force,ice,missing
Cetitan,Thick Fat,ice,missing
Cetoddle,Snow Cloak,ice,missing
Cetoddle,Thick Fat,ice,missing
Cetoddle,Sheer Force,ice,missing
Charcadet,Flame Body,fire,missing
Charcadet,Flash Fire,fire,missing
Chien-Pao,Sword of Ruin,dark,ice
Chi-Yu,Beads of Ruin,dark,fire
Clodsire,Poison Point,ground,poison
Clodsire,Unaware,ground,poison
Clodsire,Water Absorb,ground,poison
Crocalor,Unaware,fire,missing
Crocalor,Blaze,fire,missing
Cyclizar,Shed Skin,dragon,normal
Cyclizar,Regenerator,dragon,normal
Dachsbun,Aroma Veil,fairy,missing
Dachsbun,Well-Baked Body,fairy,missing
Dolliv,Harvest,normal,grass
Dolliv,Early Bird,normal,grass
Dondozo,Oblivious,water,missing
Dondozo,Water Veil,water,missing
Dondozo,Unaware,water,missing
Espathra,Frisk,psychic,missing
Espathra,Opportunist,psychic,missing
Espathra,Speed Boost,psychic,missing
Farigiraf,Cud Chew,normal,psychic
Farigiraf,Armor Tail,normal,psychic
Farigiraf,Sap Sipper,normal,psychic
